resident_id,fsa_context,source_da,area,HID,person_uid,sex,age_group,education_level,labour_force_status,household_income,family_status,household_size,household_type,inferred_schedule_type,code_agegrp,code_lfact,code_totinc,code_hhtype,source_synpop_file
H1A-P1,H1A,24660035,24660035,11,H1A-P1,Male,25-34 years,Trades or college credential,Employed,"< $20,000",Couple family context,5+,Couple with children,Structured workday / family household,3,0,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1A-P2,H1A,24662949,24662949,160,H1A-P2,Male,40-44 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,Couple without children,Structured workday / smaller household,5,0,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1A-P3,H1A,24660012,24660012,80,H1A-P3,Male,70-74 years,University credential,Unemployed,"< $20,000",One-person household context,3,Other household,Variable schedule / employment transition,11,1,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1A-P4,H1A,24660026,24660026,403,H1A-P4,Female,65-69 years,Trades or college credential,Not in labour force,"$20,000-$59,999",One-person household context,4,One-person household,More daytime presence likely,10,2,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1A-P5,H1A,24660016,24660016,35,H1A-P5,Female,35-39 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,2,Other household,Variable schedule / employment transition,4,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1B-P1,H1B,24662925,24662925,50,H1B-P1,Female,40-44 years,University credential,Employed,"< $20,000",One-person household context,3,Other household,Structured workday / smaller household,5,0,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1B-P2,H1B,24660039,24660039,29,H1B-P2,Male,25-34 years,No certificate / high school or less,Not in labour force,"< $20,000",One-person household context,4,Couple with children,More daytime presence likely,3,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1B-P3,H1B,24662905,24662905,248,H1B-P3,Male,45-49 years,Trades or college credential,Unemployed,"$20,000-$59,999",One-person household context,5+,One-person household,Variable schedule / employment transition,6,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1B-P4,H1B,24660050,24660050,8,H1B-P4,Male,25-34 years,University credential,Not in labour force,"$60,000-$99,999",One-person household context,3,Couple with children,More daytime presence likely,3,2,2,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1B-P5,H1B,24660041,24660041,135,H1B-P5,Female,40-44 years,Trades or college credential,Unemployed,"< $20,000",One-person household context,2,Couple without children,Variable schedule / employment transition,5,1,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1C-P1,H1C,24662895,24662895,15,H1C-P1,Female,25-34 years,Trades or college credential,Unemployed,"< $20,000",Couple family context,4,Other household,Variable schedule / employment transition,3,1,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1C-P2,H1C,24662943,24662943,121,H1C-P2,Female,60-64 years,University credential,Unemployed,"< $20,000",Couple family context,2,Other household,Variable schedule / employment transition,9,1,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1C-P3,H1C,24662897,24662897,249,H1C-P3,Female,Age group 16,University credential,Unemployed,"$60,000-$99,999",Couple family context,5+,Other household,Variable schedule / employment transition,16,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1C-P4,H1C,24662943,24662943,151,H1C-P4,Female,50-54 years,Trades or college credential,Unemployed,"$20,000-$59,999",Couple family context,3,Other household,Variable schedule / employment transition,7,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1C-P5,H1C,24662941,24662941,7,H1C-P5,Male,25-34 years,University credential,Employed,"< $20,000",Couple family context,4,Other household,Mixed schedule,3,0,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1E-P1,H1E,24662839,24662839,385,H1E-P1,Female,Age group 15,Trades or college credential,Unemployed,"< $20,000",Couple family context,2,One-parent household,Variable schedule / employment transition,15,1,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1E-P2,H1E,24662861,24662861,158,H1E-P2,Female,Age group 15,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,2,One-parent household,Variable schedule / employment transition,15,1,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1E-P3,H1E,24662848,24662848,4,H1E-P3,Female,70-74 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,Couple with children,Structured workday / smaller household,11,0,2,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1E-P4,H1E,24662887,24662887,131,H1E-P4,Female,65-69 years,Trades or college credential,Employed,"< $20,000",Couple family context,3,Couple without children,Structured workday / smaller household,10,0,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1E-P5,H1E,24662886,24662886,80,H1E-P5,Male,55-59 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,Other household,Structured workday / smaller household,8,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1G-P1,H1G,24662794,24662794,201,H1G-P1,Female,35-39 years,Trades or college credential,Not in labour force,"$20,000-$59,999",One-person household context,5+,One-person household,More daytime presence likely,4,2,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1G-P2,H1G,24662748,24662748,55,H1G-P2,Female,50-54 years,Trades or college credential,Not in labour force,"< $20,000",Couple family context,3,Other household,More daytime presence likely,7,2,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1G-P3,H1G,24662793,24662793,73,H1G-P3,Female,60-64 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,Couple without children,Structured workday / smaller household,9,0,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1G-P4,H1G,24662743,24662743,136,H1G-P4,Female,85+ years,Trades or college credential,Employed,"< $20,000",One-person household context,2,One-parent household,Structured workday / smaller household,14,0,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1G-P5,H1G,24662771,24662771,106,H1G-P5,Male,65-69 years,Trades or college credential,Employed,"$20,000-$59,999",Couple family context,5+,One-parent household,Structured workday / family household,10,0,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1H-P1,H1H,24662697,24662697,22,H1H-P1,Male,75-79 years,University credential,Employed,"< $20,000",Couple family context,2,Couple with children,Structured workday / smaller household,12,0,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1H-P2,H1H,24662682,24662682,156,H1H-P2,Female,60-64 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,5+,One-person household,Variable schedule / employment transition,9,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1H-P3,H1H,24662801,24662801,56,H1H-P3,Female,Age group 16,No certificate / high school or less,Employed,"$20,000-$59,999",One-person household context,2,Other household,Structured workday / smaller household,16,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1H-P4,H1H,24662720,24662720,248,H1H-P4,Female,70-74 years,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,5+,One-person household,Variable schedule / employment transition,11,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1H-P5,H1H,24662710,24662710,36,H1H-P5,Female,45-49 years,No certificate / high school or less,Employed,"$20,000-$59,999",Couple family context,3,Other household,Structured workday / smaller household,6,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1J-P1,H1J,24660301,24660301,157,H1J-P1,Female,65-69 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,5+,Other household,Variable schedule / employment transition,10,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1J-P2,H1J,24660299,24660299,356,H1J-P2,Male,60-64 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,2,One-person household,Variable schedule / employment transition,9,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1J-P3,H1J,24660296,24660296,24,H1J-P3,Male,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",One-person household context,3,Couple with children,More daytime presence likely,2,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1J-P4,H1J,24662849,24662849,80,H1J-P4,Female,75-79 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,3,Other household,Variable schedule / employment transition,12,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1J-P5,H1J,24660294,24660294,2,H1J-P5,Female,0-4 years,No certificate / high school or less,Not in labour force,"< $20,000",Lone-parent or child context,2,Couple with children,More daytime presence likely,0,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1K-P1,H1K,24662909,24662909,356,H1K-P1,Female,45-49 years,Trades or college credential,Unemployed,"$20,000-$59,999",Couple family context,5+,Other household,Variable schedule / employment transition,6,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1K-P2,H1K,24660186,24660186,248,H1K-P2,Female,85+ years,Trades or college credential,Unemployed,"< $20,000",One-person household context,5+,One-person household,Variable schedule / employment transition,14,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1K-P3,H1K,24660187,24660187,58,H1K-P3,Female,75-79 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,1,Other household,Structured workday / smaller household,12,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1K-P4,H1K,24662907,24662907,0,H1K-P4,Male,25-34 years,No certificate / high school or less,Not in labour force,"$60,000-$99,999",One-person household context,3,Couple with children,More daytime presence likely,3,2,2,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1K-P5,H1K,24660191,24660191,12,H1K-P5,Female,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",Lone-parent or child context,3,Couple with children,More daytime presence likely,2,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1L-P1,H1L,24663228,24663228,208,H1L-P1,Female,75-79 years,University credential,Unemployed,"< $20,000",One-person household context,1,One-person household,Variable schedule / employment transition,12,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1L-P2,H1L,24660070,24660070,174,H1L-P2,Male,75-79 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,3,One-person household,Variable schedule / employment transition,12,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1L-P3,H1L,24660086,24660086,15,H1L-P3,Female,5-14 years,No certificate / high school or less,Not in labour force,"< $20,000",Lone-parent or child context,2,Couple with children,More daytime presence likely,1,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1L-P4,H1L,24660080,24660080,122,H1L-P4,Female,35-39 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,3,Couple without children,Variable schedule / employment transition,4,1,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1L-P5,H1L,24660069,24660069,169,H1L-P5,Male,50-54 years,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,2,One-parent household,Variable schedule / employment transition,7,1,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1M-P1,H1M,24660134,24660134,22,H1M-P1,Male,0-4 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,3,Couple with children,More daytime presence likely,0,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1M-P2,H1M,24660203,24660203,230,H1M-P2,Male,65-69 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,One-parent household,Structured workday / smaller household,10,0,2,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1M-P3,H1M,24660129,24660129,60,H1M-P3,Male,70-74 years,University credential,Employed,"$60,000-$99,999",Couple family context,3,Other household,Structured workday / smaller household,11,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1M-P4,H1M,24660124,24660124,41,H1M-P4,Female,70-74 years,Trades or college credential,Unemployed,"$20,000-$59,999",One-person household context,2,Other household,Variable schedule / employment transition,11,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1M-P5,H1M,24660205,24660205,1037,H1M-P5,Female,Age group 17,University credential,Employed,"< $20,000",One-person household context,5+,One-person household,Structured workday / family household,17,0,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1N-P1,H1N,24660112,24660112,115,H1N-P1,Female,45-49 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,1,Couple without children,Structured workday / smaller household,6,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1N-P2,H1N,24660110,24660110,57,H1N-P2,Female,65-69 years,University credential,Employed,"< $20,000",One-person household context,4,Other household,Mixed schedule,10,0,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1N-P3,H1N,24663478,24663478,13,H1N-P3,Female,55-59 years,University credential,Not in labour force,"$100,000+",One-person household context,4,Couple with children,More daytime presence likely,8,2,3,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1N-P4,H1N,24663478,24663478,52,H1N-P4,Female,80-84 years,University credential,Not in labour force,"< $20,000",One-person household context,2,Other household,More daytime presence likely,13,2,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1N-P5,H1N,24663321,24663321,112,H1N-P5,Female,Age group 16,University credential,Unemployed,"$20,000-$59,999",One-person household context,3,Couple without children,Variable schedule / employment transition,16,1,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1P-P1,H1P,24660308,24660308,21,H1P-P1,Female,70-74 years,University credential,Employed,"$60,000-$99,999",Couple family context,3,Other household,Structured workday / smaller household,11,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1P-P2,H1P,24660312,24660312,6,H1P-P2,Male,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,4,Couple with children,More daytime presence likely,2,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1P-P3,H1P,24660313,24660313,334,H1P-P3,Male,65-69 years,No certificate / high school or less,Employed,"$20,000-$59,999",One-person household context,2,One-person household,Structured workday / smaller household,10,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1P-P4,H1P,24660400,24660400,0,H1P-P4,Male,0-4 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,3,Couple with children,More daytime presence likely,0,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1P-P5,H1P,24660305,24660305,27,H1P-P5,Male,45-49 years,Trades or college credential,Employed,"$100,000+",One-person household context,4,Other household,Mixed schedule,6,0,3,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1R-P1,H1R,24663472,24663472,250,H1R-P1,Male,70-74 years,University credential,Employed,"$20,000-$59,999",Couple family context,5+,Couple without children,Structured workday / family household,11,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1R-P2,H1R,24662733,24662733,131,H1R-P2,Female,45-49 years,University credential,Employed,"$100,000+",Couple family context,4,Couple without children,Mixed schedule,6,0,3,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1R-P3,H1R,24660405,24660405,96,H1R-P3,Female,55-59 years,No certificate / high school or less,Unemployed,"< $20,000",Couple family context,3,Other household,Variable schedule / employment transition,8,1,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1R-P4,H1R,24660322,24660322,131,H1R-P4,Female,45-49 years,Trades or college credential,Unemployed,"$60,000-$99,999",Couple family context,1,One-parent household,Variable schedule / employment transition,6,1,2,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1R-P5,H1R,24660406,24660406,144,H1R-P5,Female,50-54 years,University credential,Unemployed,"$20,000-$59,999",Couple family context,3,One-person household,Variable schedule / employment transition,7,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1S-P1,H1S,24660228,24660228,2,H1S-P1,Male,5-14 years,No certificate / high school or less,Not in labour force,"< $20,000",Lone-parent or child context,3,Couple with children,More daytime presence likely,1,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1S-P2,H1S,24660222,24660222,33,H1S-P2,Male,80-84 years,Trades or college credential,Unemployed,"$20,000-$59,999",One-person household context,4,Other household,Variable schedule / employment transition,13,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1S-P3,H1S,24660218,24660218,59,H1S-P3,Female,80-84 years,University credential,Not in labour force,"$20,000-$59,999",Couple family context,2,Other household,More daytime presence likely,13,2,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1S-P4,H1S,24660217,24660217,44,H1S-P4,Female,50-54 years,No certificate / high school or less,Unemployed,"< $20,000",One-person household context,5+,Other household,Variable schedule / employment transition,7,1,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1S-P5,H1S,24660230,24660230,112,H1S-P5,Female,50-54 years,Trades or college credential,Not in labour force,"$20,000-$59,999",One-person household context,2,One-parent household,More daytime presence likely,7,2,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1T-P1,H1T,24661686,24661686,5,H1T-P1,Female,5-14 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,4,Couple with children,More daytime presence likely,1,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1T-P2,H1T,24662108,24662108,3,H1T-P2,Female,80-84 years,University credential,Not in labour force,"$20,000-$59,999",One-person household context,1,Couple with children,More daytime presence likely,13,2,1,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1T-P3,H1T,24660236,24660236,162,H1T-P3,Male,80-84 years,No certificate / high school or less,Employed,"< $20,000",One-person household context,3,One-parent household,Structured workday / smaller household,13,0,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1T-P4,H1T,24660234,24660234,8,H1T-P4,Male,75-79 years,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,5+,Couple with children,Variable schedule / employment transition,12,1,1,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1T-P5,H1T,24662080,24662080,224,H1T-P5,Female,55-59 years,University credential,Unemployed,"< $20,000",One-person household context,3,One-person household,Variable schedule / employment transition,8,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1V-P1,H1V,24663322,24663322,193,H1V-P1,Male,55-59 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,2,Couple without children,Variable schedule / employment transition,8,1,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1V-P2,H1V,24663325,24663325,25,H1V-P2,Male,25-34 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,2,Couple with children,Variable schedule / employment transition,3,1,2,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1V-P3,H1V,24661766,24661766,208,H1V-P3,Male,65-69 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,4,One-parent household,Mixed schedule,10,0,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1V-P4,H1V,24661734,24661734,127,H1V-P4,Female,85+ years,University credential,Not in labour force,"$20,000-$59,999",One-person household context,1,Couple without children,More daytime presence likely,14,2,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
